,pcm_intensity_sma_max,1.8979357e-08
34,pcm_loudness_sma_iqr1-2,0.013552595
98,mfcc_sma[4]_minPos,173.0
554,mfcc_sma_de[2]_minPos,958.0
649,mfcc_sma_de[7]_minPos,915.0
536,mfcc_sma_de[1]_amean,-0.0006163042
744,mfcc_sma_de[12]_minPos,905.0
155,mfcc_sma[7]_minPos,344.0
707,mfcc_sma_de[10]_amean,-0.0065405946
326,lspFreq_sma[3]_minPos,917.0
669,mfcc_sma_de[8]_amean,-0.011991646
688,mfcc_sma_de[9]_amean,-0.002301851
269,lspFreq_sma[0]_minPos,19.0
307,lspFreq_sma[2]_minPos,171.0
897,lspFreq_sma_de[7]_amean,-5.6997496e-06
137,mfcc_sma[6]_amean,6.878632
592,mfcc_sma_de[4]_minPos,171.0
156,mfcc_sma[7]_amean,-0.41969326
593,mfcc_sma_de[4]_amean,0.010289689
193,mfcc_sma[9]_minPos,792.0
668,mfcc_sma_de[8]_minPos,443.0
61,mfcc_sma[2]_amean,8.761679
384,lspFreq_sma[6]_amean,2.3186312
231,mfcc_sma[11]_minPos,925.0
440,voiceProb_sma_minPos,226.0
117,mfcc_sma[5]_minPos,507.0
934,voiceProb_sma_de_minPos,797.0
859,lspFreq_sma_de[5]_amean,-4.0385978e-05
726,mfcc_sma_de[11]_amean,-0.005439712
573,mfcc_sma_de[3]_minPos,508.0
782,lspFreq_sma_de[1]_minPos,905.0
516,pcm_loudness_sma_de_minPos,255.0
725,mfcc_sma_de[11]_minPos,922.0
878,lspFreq_sma_de[6]_amean,-1.7153965e-05
877,lspFreq_sma_de[6]_minPos,236.0
99,mfcc_sma[4]_amean,12.491337
839,lspFreq_sma_de[4]_minPos,959.0
631,mfcc_sma_de[6]_amean,-0.0029319809
421,pcm_zcr_sma_minPos,232.0
232,mfcc_sma[11]_amean,-5.86278
250,mfcc_sma[12]_minPos,907.0
535,mfcc_sma_de[1]_minPos,938.0
346,lspFreq_sma[4]_amean,1.57478
288,lspFreq_sma[1]_minPos,911.0
801,lspFreq_sma_de[2]_minPos,158.0
555,mfcc_sma_de[2]_amean,-0.0073316405
174,mfcc_sma[8]_minPos,150.0
345,lspFreq_sma[4]_minPos,786.0
364,lspFreq_sma[5]_minPos,781.0
251,mfcc_sma[12]_amean,1.796476
858,lspFreq_sma_de[5]_minPos,385.0
802,lspFreq_sma_de[2]_amean,-3.4099387e-05
213,mfcc_sma[10]_amean,-5.265671
497,pcm_intensity_sma_de_minPos,255.0
194,mfcc_sma[9]_amean,4.5343037
118,mfcc_sma[5]_amean,-5.905279
574,mfcc_sma_de[3]_amean,0.0026055654
687,mfcc_sma_de[9]_minPos,504.0
42,mfcc_sma[1]_amean,-2.6243432
916,pcm_zcr_sma_de_amean,1.1906009e-05
630,mfcc_sma_de[6]_minPos,504.0
745,mfcc_sma_de[12]_amean,0.012734144
422,pcm_zcr_sma_amean,0.03705138
212,mfcc_sma[10]_minPos,802.0
383,lspFreq_sma[6]_minPos,941.0
441,voiceProb_sma_amean,0.4545835
612,mfcc_sma_de[5]_amean,0.0011417271
498,pcm_intensity_sma_de_amean,-1.3376269e-14
175,mfcc_sma[8]_amean,14.7619705
365,lspFreq_sma[5]_amean,1.9715697
706,mfcc_sma_de[10]_minPos,692.0
79,mfcc_sma[3]_minPos,909.0
611,mfcc_sma_de[5]_minPos,807.0
402,lspFreq_sma[7]_minPos,245.0
517,pcm_loudness_sma_de_amean,-1.1777259e-05
896,lspFreq_sma_de[7]_minPos,237.0
763,lspFreq_sma_de[0]_minPos,248.0
136,mfcc_sma[6]_minPos,536.0
783,lspFreq_sma_de[1]_amean,-6.336324e-05
403,lspFreq_sma[7]_amean,2.721614
80,mfcc_sma[3]_amean,7.5235877
650,mfcc_sma_de[7]_amean,-0.0006991225
41,mfcc_sma[1]_minPos,781.0
820,lspFreq_sma_de[3]_minPos,497.0
840,lspFreq_sma_de[4]_amean,-3.1302152e-05
60,mfcc_sma[2]_minPos,172.0
36,pcm_loudness_sma_iqr1-3,0.04682641
289,lspFreq_sma[1]_amean,0.6380234
494,pcm_intensity_sma_de_min,-3.8424433e-09
821,lspFreq_sma_de[3]_amean,-5.603857e-06
915,pcm_zcr_sma_de_minPos,719.0
308,lspFreq_sma[2]_amean,0.997893
70,mfcc_sma[2]_quartile2,9.721245
764,lspFreq_sma_de[0]_amean,3.9606308e-05
935,voiceProb_sma_de_amean,-3.068315e-05
327,lspFreq_sma[3]_amean,1.2640412
514,pcm_loudness_sma_de_range,0.10523547
100,mfcc_sma[4]_linregc1,0.0040094145
319,lspFreq_sma[2]_iqr1-2,0.069034696
513,pcm_loudness_sma_de_min,-0.05455459
270,lspFreq_sma[0]_amean,0.22361962
108,mfcc_sma[4]_quartile2,11.570159
676,mfcc_sma_de[8]_kurtosis,3.8226829
51,mfcc_sma[1]_quartile2,-1.3676006
