2025-01-07 15:22:14.850208: Epoch: 1/50 Train Loss: 0.4340, Valid Loss: 0.7805, Accuracy: 58.14%, Precision: 0.5714, Recall: 1.0000, F1 Score: 0.7273
2025-01-07 15:22:15.524731: Epoch: 2/50 Train Loss: 0.2110, Valid Loss: 0.1697, Accuracy: 93.02%, Precision: 0.9061, Recall: 0.9762, F1 Score: 0.9398
2025-01-07 15:22:16.208085: Epoch: 3/50 Train Loss: 0.1391, Valid Loss: 0.1239, Accuracy: 95.35%, Precision: 0.9326, Recall: 0.9881, F1 Score: 0.9595
2025-01-07 15:22:16.914206: Epoch: 4/50 Train Loss: 0.0941, Valid Loss: 0.1140, Accuracy: 95.02%, Precision: 0.9322, Recall: 0.9821, F1 Score: 0.9565
2025-01-07 15:22:17.590290: Epoch: 5/50 Train Loss: 0.0510, Valid Loss: 0.0966, Accuracy: 96.01%, Precision: 0.9483, Recall: 0.9821, F1 Score: 0.9649
2025-01-07 15:22:18.308408: Epoch: 6/50 Train Loss: 0.0428, Valid Loss: 0.0982, Accuracy: 96.68%, Precision: 0.9759, Recall: 0.9643, F1 Score: 0.9701
2025-01-07 15:22:18.976826: Epoch: 7/50 Train Loss: 0.0266, Valid Loss: 0.0888, Accuracy: 96.01%, Precision: 0.9382, Recall: 0.9940, F1 Score: 0.9653
2025-01-07 15:22:19.707786: Epoch: 8/50 Train Loss: 0.0254, Valid Loss: 0.0903, Accuracy: 95.68%, Precision: 0.9697, Recall: 0.9524, F1 Score: 0.9610
2025-01-07 15:22:20.367409: Epoch: 9/50 Train Loss: 0.0201, Valid Loss: 0.0705, Accuracy: 97.01%, Precision: 0.9649, Recall: 0.9821, F1 Score: 0.9735
2025-01-07 15:22:21.067796: Epoch: 10/50 Train Loss: 0.0126, Valid Loss: 0.0757, Accuracy: 97.67%, Precision: 0.9653, Recall: 0.9940, F1 Score: 0.9795
2025-01-07 15:22:21.791767: Epoch: 11/50 Train Loss: 0.0122, Valid Loss: 0.0733, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
2025-01-07 15:22:22.485692: Epoch: 12/50 Train Loss: 0.0076, Valid Loss: 0.0752, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
2025-01-07 15:22:23.206533: Epoch: 13/50 Train Loss: 0.0066, Valid Loss: 0.0777, Accuracy: 97.01%, Precision: 0.9649, Recall: 0.9821, F1 Score: 0.9735
2025-01-07 15:22:23.883529: Epoch: 14/50 Train Loss: 0.0042, Valid Loss: 0.0874, Accuracy: 97.01%, Precision: 0.9543, Recall: 0.9940, F1 Score: 0.9738
2025-01-07 15:22:24.607674: Epoch: 15/50 Train Loss: 0.0050, Valid Loss: 0.0790, Accuracy: 97.01%, Precision: 0.9649, Recall: 0.9821, F1 Score: 0.9735
2025-01-07 15:22:25.276359: Epoch: 16/50 Train Loss: 0.0024, Valid Loss: 0.0805, Accuracy: 96.68%, Precision: 0.9647, Recall: 0.9762, F1 Score: 0.9704
2025-01-07 15:22:25.957318: Epoch: 17/50 Train Loss: 0.0029, Valid Loss: 0.0833, Accuracy: 97.01%, Precision: 0.9595, Recall: 0.9881, F1 Score: 0.9736
2025-01-07 15:22:26.670068: Epoch: 18/50 Train Loss: 0.0029, Valid Loss: 0.0782, Accuracy: 97.01%, Precision: 0.9649, Recall: 0.9821, F1 Score: 0.9735
2025-01-07 15:22:27.351022: Epoch: 19/50 Train Loss: 0.0032, Valid Loss: 0.0770, Accuracy: 98.01%, Precision: 0.9821, Recall: 0.9821, F1 Score: 0.9821
2025-01-07 15:22:28.070296: Epoch: 20/50 Train Loss: 0.0026, Valid Loss: 0.0783, Accuracy: 97.34%, Precision: 0.9651, Recall: 0.9881, F1 Score: 0.9765
2025-01-07 15:22:28.751690: Epoch: 21/50 Train Loss: 0.0022, Valid Loss: 0.0755, Accuracy: 97.01%, Precision: 0.9649, Recall: 0.9821, F1 Score: 0.9735
2025-01-07 15:22:29.473654: Epoch: 22/50 Train Loss: 0.0020, Valid Loss: 0.0756, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:30.153862: Epoch: 23/50 Train Loss: 0.0025, Valid Loss: 0.0786, Accuracy: 97.34%, Precision: 0.9651, Recall: 0.9881, F1 Score: 0.9765
2025-01-07 15:22:30.877660: Epoch: 24/50 Train Loss: 0.0029, Valid Loss: 0.0780, Accuracy: 97.34%, Precision: 0.9706, Recall: 0.9821, F1 Score: 0.9763
2025-01-07 15:22:31.548430: Epoch: 25/50 Train Loss: 0.0022, Valid Loss: 0.0773, Accuracy: 98.01%, Precision: 0.9765, Recall: 0.9881, F1 Score: 0.9822
2025-01-07 15:22:32.281787: Epoch: 26/50 Train Loss: 0.0014, Valid Loss: 0.0769, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
2025-01-07 15:22:32.954242: Epoch: 27/50 Train Loss: 0.0021, Valid Loss: 0.0747, Accuracy: 97.34%, Precision: 0.9706, Recall: 0.9821, F1 Score: 0.9763
2025-01-07 15:22:33.648531: Epoch: 28/50 Train Loss: 0.0016, Valid Loss: 0.0744, Accuracy: 97.34%, Precision: 0.9651, Recall: 0.9881, F1 Score: 0.9765
2025-01-07 15:22:34.342138: Epoch: 29/50 Train Loss: 0.0019, Valid Loss: 0.0743, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:35.011064: Epoch: 30/50 Train Loss: 0.0015, Valid Loss: 0.0740, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:35.734003: Epoch: 31/50 Train Loss: 0.0026, Valid Loss: 0.0738, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:36.401491: Epoch: 32/50 Train Loss: 0.0021, Valid Loss: 0.0767, Accuracy: 97.34%, Precision: 0.9706, Recall: 0.9821, F1 Score: 0.9763
2025-01-07 15:22:37.087332: Epoch: 33/50 Train Loss: 0.0019, Valid Loss: 0.0746, Accuracy: 98.01%, Precision: 0.9821, Recall: 0.9821, F1 Score: 0.9821
2025-01-07 15:22:37.792156: Epoch: 34/50 Train Loss: 0.0015, Valid Loss: 0.0756, Accuracy: 97.34%, Precision: 0.9706, Recall: 0.9821, F1 Score: 0.9763
2025-01-07 15:22:38.471144: Epoch: 35/50 Train Loss: 0.0014, Valid Loss: 0.0754, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:39.213781: Epoch: 36/50 Train Loss: 0.0014, Valid Loss: 0.0745, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:39.967982: Epoch: 37/50 Train Loss: 0.0021, Valid Loss: 0.0754, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:40.640365: Epoch: 38/50 Train Loss: 0.0014, Valid Loss: 0.0744, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:41.364426: Epoch: 39/50 Train Loss: 0.0015, Valid Loss: 0.0750, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:42.034023: Epoch: 40/50 Train Loss: 0.0015, Valid Loss: 0.0757, Accuracy: 97.67%, Precision: 0.9763, Recall: 0.9821, F1 Score: 0.9792
2025-01-07 15:22:42.801583: Epoch: 41/50 Train Loss: 0.0017, Valid Loss: 0.0772, Accuracy: 97.01%, Precision: 0.9649, Recall: 0.9821, F1 Score: 0.9735
2025-01-07 15:22:43.581116: Epoch: 42/50 Train Loss: 0.0012, Valid Loss: 0.0757, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
2025-01-07 15:22:44.281215: Epoch: 43/50 Train Loss: 0.0014, Valid Loss: 0.0757, Accuracy: 98.01%, Precision: 0.9765, Recall: 0.9881, F1 Score: 0.9822
2025-01-07 15:22:44.997026: Epoch: 44/50 Train Loss: 0.0020, Valid Loss: 0.0755, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
2025-01-07 15:22:45.667199: Epoch: 45/50 Train Loss: 0.0014, Valid Loss: 0.0758, Accuracy: 98.01%, Precision: 0.9765, Recall: 0.9881, F1 Score: 0.9822
2025-01-07 15:22:46.343481: Epoch: 46/50 Train Loss: 0.0013, Valid Loss: 0.0756, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
2025-01-07 15:22:47.044891: Epoch: 47/50 Train Loss: 0.0022, Valid Loss: 0.0754, Accuracy: 98.01%, Precision: 0.9765, Recall: 0.9881, F1 Score: 0.9822
2025-01-07 15:22:47.767864: Epoch: 48/50 Train Loss: 0.0014, Valid Loss: 0.0762, Accuracy: 98.01%, Precision: 0.9765, Recall: 0.9881, F1 Score: 0.9822
2025-01-07 15:22:48.499349: Epoch: 49/50 Train Loss: 0.0019, Valid Loss: 0.0757, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
2025-01-07 15:22:49.222019: Epoch: 50/50 Train Loss: 0.0013, Valid Loss: 0.0759, Accuracy: 97.67%, Precision: 0.9708, Recall: 0.9881, F1 Score: 0.9794
